id,Name,Assembly,link,party,case,Qualification,Assets
44,Gangula Kamalakar,KARIMNAGAR,https://www.myneta.info/telangana2018/candidate.php?candidate_id=5340,BRS,7,Graduate Professional,295596401
45,Kausar Mohiuddin,KARWAN,https://www.myneta.info/telangana2018/candidate.php?candidate_id=6302,All India Majlis-E-Ittehadul Muslimeen,2,10th Pass,5801174
46,Danam Nagender,KHAIRATABAD,https://www.myneta.info/telangana2018/candidate.php?candidate_id=5647,BRS,3,Post Graduate,410797119
47,Ajaykumar Puvvada,KHAMMAM,https://www.myneta.info/telangana2018/candidate.php?candidate_id=4649,BRS,1,Post Graduate,274903867
48,Ajmera Rekha,KHANAPUR (ST),https://www.myneta.info/telangana2018/candidate.php?candidate_id=4607,IND,0,Post Graduate,60195185
49,Bollam Mallaiah Yadav,KODAD,https://www.myneta.info/telangana2018/candidate.php?candidate_id=5151,BRS,2,Post Graduate,35502000
50,Patnam Narender Reddy,KODANGAL,https://www.myneta.info/telangana2018/candidate.php?candidate_id=5049,BRS,0,Graduate,
51,Beeram Harshavardhan Reddy,KOLLAPUR,https://www.myneta.info/telangana2018/candidate.php?candidate_id=5765,BRS,1,Graduate Professional,76285203
52,Kalvakuntla Vidyasagar Rao,KORATLA,https://www.myneta.info/telangana2018/candidate.php?candidate_id=4791,BRS,2,Graduate,63499683
53,Vanama Venkateswara Rao,KOTHAGUDEM,https://www.myneta.info/telangana2018/candidate.php?candidate_id=6071,BRS,1,12th Pass,33263229
54,Madhavaram Krishna Rao,KUKATPALLE,https://www.myneta.info/telangana2018/candidate.php?candidate_id=5497,BRS,0,8th Pass,39533966
55,Devi Reddy Sudheer Reddy,LAL BAHADUR NAGAR,https://www.myneta.info/telangana2018/candidate.php?candidate_id=6149,BRS,0,Graduate,136625370
56,Bhatti Vikramarka Mallu,MADHIRA (SC),https://www.myneta.info/telangana2018/candidate.php?candidate_id=6061,INC,0,Post Graduate,44156604
57,Banoth Shankar Naik,MAHBUBABAD,https://www.myneta.info/telangana2018/candidate.php?candidate_id=5896,BRS,1,Post Graduate,84786487
58,Srinivas Goud Virusanolla,MAHBUBNAGAR,https://www.myneta.info/telangana2018/candidate.php?candidate_id=5699,BRS,2,Graduate,106117211
59,Patlolla Sabitha Indra Reddy,MAHESWARAM,https://www.myneta.info/telangana2018/candidate.php?candidate_id=4935,BRS,4,12th Pass,53969034
60,Chittem Ram Mohan Reddy,MAKTHAL,https://www.myneta.info/telangana2018/candidate.php?candidate_id=5079,BRS,0,Graduate,
61,Ahmed Bin Abdullah Balala,MALAKPET,https://www.myneta.info/telangana2018/candidate.php?candidate_id=5596,All India Majlis-E-Ittehadul Muslimeen,3,10th Pass,135693850
62,Hanumanth Rao Mynampally,MALKAJGIRI,https://www.myneta.info/telangana2018/candidate.php?candidate_id=5436,INC,4,12th Pass,120133828
63,Erupula Balakishan,MANAKONDUR (SC),https://www.myneta.info/telangana2018/candidate.php?candidate_id=4883,BRS,1,Post Graduate,18231537
64,Nadipelli Diwakar Rao,MANCHERIAL,https://www.myneta.info/telangana2018/candidate.php?candidate_id=4596,BRS,0,Graduate,29889120
65,Duddilla Sridhar Babu,MANTHANI,https://www.myneta.info/telangana2018/candidate.php?candidate_id=4816,INC,3,Post Graduate,47849052
66,Padma Devender Reddy. M,MEDAK,https://www.myneta.info/telangana2018/candidate.php?candidate_id=4909,BRS,0,Graduate Professional,36297533
67,Ch. Malla Reddy,MEDCHAL,https://www.myneta.info/telangana2018/candidate.php?candidate_id=5423,BRS,1,12th Pass,492679933
68,Nallamothu Bhaskar Rao,MIRYALAGUDA,https://www.myneta.info/telangana2018/candidate.php?candidate_id=5785,BRS,0,Graduate,53202321
69,Gaddigari Vittal Reddy,MUDHOLE,https://www.myneta.info/telangana2018/candidate.php?candidate_id=4724,BRS,0,Graduate Professional,12470613
70,Anasuya Dansari,MULUG (ST),https://www.myneta.info/telangana2018/candidate.php?candidate_id=4640,INC,0,Post Graduate,
71,Komatireddy Rajgopal Reddy,MUNUGODE,https://www.myneta.info/telangana2018/candidate.php?candidate_id=5185,INC,4,Graduate,3143170406
